(x-1)*(x-1)+y*y+1.5*(x-1)*y-4+ranJammer(random)>0,while ranJammer is 16*(ran-0.5)*(ran-0.5)*(ran-0.5); ran is a real number in [0,1)
400 2
-5.086953676171228 -3.4658965473299554 1
-4.870724322905743 1.3866279983454861 1
-1.696906609849785 6.071428862857945 1
5.099666399313599 -0.5705765822072417 1
6.015630856586596 0.39594115158869414 1
-5.218869303028361 1.8748442389497255 1
5.069302895852069 3.1836372023664667 1
2.918504628111008 -2.617084378541354 0
3.1718120540706636 1.6039044751823426 1
3.326616839108886 6.568266220974021 1
-2.2368045525179534 -2.976644456471206 1
-5.194536660938622 -4.655716924643134 1
-5.065628670062649 -0.8862015953028088 1
0.47604672287248784 -6.350558923879615 1
1.443210898403913 -4.317845168009187 1
4.013299759945603 -2.7850943103403756 1
-6.732386578462782 -0.5779105636686277 1
-3.7211286230645797 2.2807355524941615 1
-6.877586174637082 2.096429148034092 1
-3.258074939127228 2.674652229894458 1
6.591256278399155 1.4098180108289244 1
-6.447105349348372 2.3367139187176313 1
3.85883901708781 -4.307638657494952 1
5.092047144519428 2.5158570204997286 1
-0.7474871637313631 0.31347830055248105 1
-4.203374002920018 2.696968077255401 1
-2.8994047913274397 4.963187893911776 1
5.778471399007519 3.462951178202301 1
-4.1202075407547865 -4.785715721285541 1
0.5357573704133012 -4.515528687290622 1
5.753807187327724 -5.591738414814431 1
-1.548493081942823 -5.403782142392029 1
1.8038740147704069 -1.6584669788627897 0
-3.072196555703047 6.304451002719223 1
-3.6698559191430586 -1.4260364787653628 1
0.25422644150841056 -3.675687117917879 1
-6.722672860863278 -3.297416821699612 1
-3.365515484555265 1.0211897094988784 1
5.231860271813826 -5.440434987026082 1
4.335122491986385 6.488864538706471 1
-0.41962655014299277 1.0812542914527066 0
-1.5305164483555356 -2.0949024447728286 1
3.745939297928893 -3.7133167289329307 1
-4.559998228485027 -5.364365978578916 1
-4.728689491781731 6.2882524036537015 1
-3.8602471524688458 0.08980848092529303 1
6.645108257643628 -0.920978763568534 1
1.4237519010546054 2.750397700699592 1
-5.1779684858160095 -0.29847182189246113 1
-1.4784076951789837 -0.8010170858735606 1
0.43216144575366267 5.659633936645356 1
-2.448081979667263 0.8338771697628728 1
-0.32589003483823453 0.6012631736961049 0
